ロシア連邦,ウラジーミル・プーチン,2012/5/7,2023/12/31,無所属,https://upload.wikimedia.org/wikipedia/commons/3/34/Vladimir_Putin_-_2012.jpg
ロシア連邦,ドミートリー・メドヴェージェフ,2008/5/7,2012/5/7,無所属,https://upload.wikimedia.org/wikipedia/commons/6/61/Dmitry_Medvedev_official_large_photo_-1_%28cropped%29.jpg
ロシア連邦,ウラジーミル・プーチン,1991/12/31,2008/5/7,無所属,https://upload.wikimedia.org/wikipedia/commons/3/34/Vladimir_Putin_-_2012.jpg
ロシア連邦,ボリス・エリツィン,1991/7/10,1991/12/31,無所属,https://upload.wikimedia.org/wikipedia/commons/d/d2/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_%D0%95%D0%BB%D1%8C%D1%86%D0%B8%D0%BD-1_%28cropped%29.jpg
ソビエト連邦,ミハイル・ゴルバチョフ,1985/3/11,1991/7/10,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/d/de/Mikhail_Gorbachev_1987.jpg
ソビエト連邦,コンスタンティン・チェルネンコ,1984/2/13,1985/3/11,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/c/ca/Konstantin_Chernenko1.jpg
ソビエト連邦,ユーリ・アンドロポフ,1982/11/12,1984/2/10,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/7/7c/RIAN_archive_101740_Yury_Andropov%2C_Chairman_of_KGB.jpg
ソビエト連邦,レオニード・ブレジネフ,1964/10/14,1982/11/11,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/9/93/Brezhnev_1973.jpg
ソビエト連邦,ニキータ・フルシチョフ,1953/9/7,1964/10/14,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nikita_Khruchchev_Colour.jpg
ソビエト連邦,ゲオルギー・マレンコフ,1953/3/5,1953/9/7,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/4/42/Georgy_Malenkov_1964.jpg
ソビエト連邦,ヨシフ・スターリン,1924/1/22,1953/3/5,ソ連共産党,https://upload.wikimedia.org/wikipedia/commons/2/22/Stalin_office.jpg
日本,岸田文雄,2021/10/4,2023/12/31,自由民主党,https://upload.wikimedia.org/wikipedia/commons/b/bb/Fumio_Kishida_20211005_%28cropped%29.jpg
日本,菅義偉,2020/9/16,2021/10/4,自由民主党,https://upload.wikimedia.org/wikipedia/commons/a/a1/Yoshihide_Suga_20200924_%28cropped_2%29.jpg
日本,安倍晋三,2012/12/26,2020/9/16,自由民主党,https://upload.wikimedia.org/wikipedia/commons/5/5d/Shinz%C5%8D_Abe_20120501_%28cropped_2%29.jpg
日本,野田佳彦,2011/9/2,2012/12/26,民主党,https://upload.wikimedia.org/wikipedia/commons/1/1a/Yoshihiko_Noda_20110902_%28cropped%29.jpg
日本,菅直人,2010/6/8,2011/9/2,民主党,https://upload.wikimedia.org/wikipedia/commons/2/22/Naoto_Kan_20071221_%28cropped%29.jpg
日本,鳩山由紀夫,2009/9/16,2010/6/8,民主党,https://upload.wikimedia.org/wikipedia/commons/7/7d/Yukio_Hatoyama_20070824_%28cropped%29.jpg
日本,麻生太郎,2008/9/24,2009/9/16,自由民主党,https://upload.wikimedia.org/wikipedia/commons/f/f2/Tar%C5%8D_As%C5%8D_20100714_%28cropped%29.jpg
日本,福田康夫,2007/9/26,2008/9/24,自由民主党,https://upload.wikimedia.org/wikipedia/commons/1/17/Yasuo_Fukuda_cropped_Yasuo_Fukuda_200709.jpg
日本,安倍晋三,2006/9/26,2007/9/26,自由民主党,https://upload.wikimedia.org/wikipedia/commons/6/69/Shinz%C5%8D_Abe_20060926_%28cropped%29.jpg
日本,小泉純一郎,2001/4/26,2006/9/26,自由民主党,https://upload.wikimedia.org/wikipedia/commons/0/0e/Junichiro_Koizumi_cropped_2_Junichiro_Koizumi_20010426.jpg
日本,森喜朗,2000/4/5,2001/4/26,自由民主党,https://upload.wikimedia.org/wikipedia/commons/2/2b/Yoshiro_Mori_cropped_2_Yoshiro_Mori_20000405.jpg
日本,小渕恵三,1998/7/30,2000/4/5,自由民主党,https://upload.wikimedia.org/wikipedia/commons/6/6b/Keizo_Obuchi_cropped_2_Keizo_Obuchi_19980730.jpg
日本,橋本龍太郎,1996/1/11,1998/7/30,自由民主党,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ryutaro_Hashimoto_cropped_2_Ryutaro_Hashimoto_19960111.jpg
日本,村山富市,1994/6/30,1996/1/11,日本社会党,https://upload.wikimedia.org/wikipedia/commons/3/3d/Tomiichi_Murayama_cropped_2_Tomiichi_Murayama_19940630.jpg
日本,羽田孜,1994/4/28,1994/6/30,新生党,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tsutomu_Hata_cropped_2_Tsutomu_Hata_19940428.jpg
日本,細川護熙,1993/8/9,1994/4/28,日本新党,https://upload.wikimedia.org/wikipedia/commons/3/39/Morihiro_Hosokawa_cropped_2_Morihiro_Hosokawa_19930809.jpg
日本,宮澤喜一,1991/11/5,1993/8/9,自由民主党,https://upload.wikimedia.org/wikipedia/commons/b/b6/Kiichi_Miyazawa_cropped_2_Kiichi_Miyazawa_19911105.jpg
日本,海部俊樹,1989/8/10,1991/11/5,自由民主党,https://upload.wikimedia.org/wikipedia/commons/5/52/Toshiki_Kaifu_19890810_%28cropped%29.jpg
日本,宇野宗佑,1989/6/3,1989/8/10,自由民主党,https://upload.wikimedia.org/wikipedia/commons/8/81/Sosuke_Uno_cropped_2_Sosuke_Uno_19890603.jpg
日本,竹下登,1987/11/6,1989/6/3,自由民主党,https://upload.wikimedia.org/wikipedia/commons/0/07/Noboru_Takeshita_cropped_2_Noboru_Takeshita_19871106.jpg
日本,中曽根康弘,1982/11/27,1987/11/6,自由民主党,https://upload.wikimedia.org/wikipedia/commons/c/c8/Yasuhiro_Nakasone_cropped_2_Yasuhiro_Nakasone_19821127.jpg
日本,鈴木善幸,1980/7/17,1982/11/27,自由民主党,https://upload.wikimedia.org/wikipedia/commons/4/48/Zenko_Suzuki_cropped_2_Zenko_Suzuki_19800717.jpg
日本,伊東正義,1980/6/12,1980/7/17,自由民主党,https://upload.wikimedia.org/wikipedia/commons/8/85/Masayoshi_Ito_%28cropped%29.jpg
日本,大平正芳,1978/12/7,1980/6/12,自由民主党,https://upload.wikimedia.org/wikipedia/commons/8/88/Masayoshi_Ohira_cropped_2_Masayoshi_Ohira_19781207.jpg
日本,福田赳夫,1976/12/24,1978/12/7,自由民主党,https://upload.wikimedia.org/wikipedia/commons/f/fc/Takeo_Fukuda_cropped_2_Takeo_Fukuda_19761224.jpg
日本,三木武夫,1974/12/9,1976/12/24,自由民主党,https://upload.wikimedia.org/wikipedia/commons/5/59/Takeo_Miki_cropped_2_Takeo_Miki_19741209.jpg
日本,田中角栄,1972/7/7,1974/12/9,自由民主党,https://upload.wikimedia.org/wikipedia/commons/e/e9/Kakuei_Tanaka_cropped_2_Kakuei_Tanaka_19720707.jpg
